Total Population,Female Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country,Male Population
1200669765.0,575948780.0,22.39,7.72,8.0,20.9689998626709,53.0919990539551,68.2129974365234,15.9910001754761,2.26799988746643,1198895582137.51,0.855536087334769,-7158169832.3245,201305866150.943,561.247580012144,43.6328830116274,69.0051215885826,2008,India,624720985.0
1183209472.0,567579951.0,22.996,7.839,8.0,20.4459991455078,53.8619995117188,69.234001159668,15.3430004119873,2.3989999294281,1216735441524.86,6.56011387729554,-5094794675.70112,203804643612.754,541.738394737935,45.8678035195348,67.8834329697327,2007,India,615629521.0
1165486291.0,559099816.0,23.564,7.958,8.0,19.6499996185303,54.8959999084473,70.3980026245117,14.6789999008179,2.73699998855591,940259888792.141,6.73067443895397,-7344611542.66898,158052441543.0,509.214054753734,47.4437217093748,66.8056737084907,2006,India,606386475.0
1147609927.0,550557712.0,24.087,8.074,8.0,18.9729995727539,55.8219985961914,71.4349975585938,14.1269998550415,3.10199999809265,820381595512.902,7.06476239269062,-5898774890.67977,144552934947.689,468.025752795706,48.5753087512264,65.9898036089149,2005,India,597052215.0
1129623456.0,541973977.0,24.571,8.189,8.0,18.3819999694824,56.6809997558594,72.1100006103516,13.6099996566772,3.09800004959106,709148514804.66,6.82695469495836,-4979769339.3098,126332614150.78,451.611550105773,49.7240246052468,65.5837437121253,2004,India,587649479.0
1111523144.0,533346646.0,25.034,8.306,8.0,17.5590000152588,57.6689987182617,72.8249969482422,13.0059995651245,3.18199992179871,607699285433.872,5.90800478262739,-4506392470.48583,118991207540.395,430.48316410045,50.8427990577573,64.5192394352755,2003,India,578176498.0
1093317189.0,524676538.0,25.489,8.427,8.0,17.0429992675781,58.4339981079102,73.4290008544922,12.5209999084473,3.05200004577637,514937948870.08,2.7919100441314,-3447912556.47532,100601880717.513,410.644783158165,50.5694426557262,64.329205786967,2002,India,568640651.0
1075000085.0,515957245.0,25.944,8.555,8.0,16.6639995574951,59.0460014343262,73.9049987792969,12.0729999542236,2.86800003051758,485441014538.638,3.24796786294144,-4207692436.72107,104954796939.212,393.810201419658,51.7872192257844,63.6479663387743,2001,India,559042840.0
1056575549.0,507187684.0,26.401,8.692,8.0,16.3199996948242,59.6450004577637,74.3789978027344,11.6569995880127,2.73099994659424,468394937262.37,1.01633258784497,-4975977060.55532,101215262787.974,393.64624743933,51.5793476223734,63.7273945117512,2000,India,549387865.0
1038058156.0,498372775.0,26.861,8.841,8.0,16.2210006713867,59.9249992370605,74.4199981689453,11.6599998474121,2.74399995803833,458820417337.807,4.27883900936432,-3560928781.42437,105478046711.373,392.039692234738,51.7172937036599,63.4604001610669,1999,India,539685381.0
1019483581.0,489529545.0,27.324,9.003,8.0,16.0259990692139,60.6609992980957,74.7959976196289,11.6520004272461,2.6710000038147,421351477504.743,6.10613119497367,-3558539496.26981,102720522680.697,385.863987739887,52.7122557076625,62.0158176745031,1998,India,529954036.0
1000900030.0,480682703.0,27.789,9.179,8.0,15.875,61.076000213623,74.963996887207,11.6490001678467,2.63000011444092,415867753863.874,2.64833357510594,-3553714782.43084,101244489721.004,375.485052188479,52.4880731033173,61.7732902454048,1997,India,520217327.0
982365243.0,471862699.0,28.262,9.37,8.0,15.7279996871948,61.4370002746582,75.0830001831055,11.6350002288818,2.66499996185303,392897054348.071,5.11550351324055,-3684987380.56607,99862765103.885,359.816272530725,53.767409699754,60.8251557989438,1996,India,510502544.0
963922588.0,463091989.0,28.749,9.579,8.0,15.5640001296997,61.7569999694824,75.2330017089844,11.6389999389648,2.61100006103516,360281952716.797,4.69851303435517,-4029621483.34539,88113635729.2706,358.762212137309,54.4841170038941,59.9879419310204,1995,India,500830599.0
945601831.0,454384942.0,29.258,9.808,8.0,15.4250001907349,62.1780014038086,75.4570007324219,11.6549997329712,2.59100008010864,327275583539.559,4.50578664427806,-4166865725.83342,86363506441.5546,341.231361257802,55.5571874605853,58.0145500336475,1994,India,491216889.0
927403860.0,445740100.0,29.792,10.055,8.0,15.3500003814697,62.4860000610352,75.7610015869141,11.6359996795654,2.57299995422363,279296022987.919,2.91642905493194,-3851512707.12243,75079800665.0874,320.550746898983,56.9833633428903,56.9568336076519,1993,India,481663760.0
909307016.0,437144411.0,30.348,10.316,8.0,15.3590002059937,62.7709999084473,76.0199966430664,11.6429996490479,2.40799999237061,288208430383.964,3.03763348156861,-4409097621.094,76864531185.5153,304.431831195725,57.2305674845727,56.0702824473676,1992,India,472162605.0
891273209.0,428576056.0,30.924,10.588,8.0,15.3009996414185,63.0480003356934,76.2789993286133,11.6269998550415,2.36100006103516,270105341879.226,-0.399489873365994,-4109941024.36518,73828482315.4666,290.89957757274,57.6047933357271,55.0634924018219,1991,India,462697153.0
873277798.0,420020420.0,31.517,10.864,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,320979026419.633,3.73310926324659,-4203693901.99738,86331925636.2927,272.063483743806,58.652858348278,53.7639597347536,1990,India,453257378.0
855334678.0,411482899.0,32.121,11.135,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,296042354986.126,3.87891178758917,-3439480507.00979,79688512801.3293,257.039736204873,48.43532067827557,52.8142022603434,1989,India,443851779.0
837468930.0,402975459.0,32.726,11.398,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,296588994812.059,5.4424001653353,-3105680161.91535,82992211449.7807,240.025621010203,48.43532067827557,51.2490485647204,1988,India,434493471.0
819682102.0,394498853.0,33.32,11.649,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,279033584092.159,2.73650834748891,-2019508809.80838,75015584849.83,220.220741138008,48.43532067827557,49.6834491458036,1987,India,425183249.0
801975244.0,386054077.0,33.89,11.888,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,248985994044.2,2.35504108865135,-1411645094.43554,68393366637.7789,207.976494596135,48.43532067827557,48.253001768131,1986,India,415921167.0
784360008.0,377646918.0,34.418,12.117,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,232511877842.041,1.75814028940945,-1167731707.71569,66580437366.9865,193.534854469531,48.43532067827557,47.2255730197849,1985,India,406713090.0
766833410.0,369276873.0,34.886,12.337,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,212158234164.06,0.768554066615906,-1197967493.35397,63958902685.6631,183.301872567081,48.43532067827557,45.1745737322241,1984,India,397556537.0
749428958.0,360959428.0,35.289,12.558,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,218262273410.099,5.5661455523166,-915429446.960367,68368791476.2066,165.687486017854,48.43532067827557,43.851836372075,1983,India,388469530.0
732239504.0,352736218.0,35.631,12.786,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,200715145360.918,-1.29692628177158,-658475535.660501,61359563464.0861,158.099910435862,48.43532067827557,43.0251332032812,1982,India,379503286.0
715384993.0,344660920.0,35.918,13.027,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,193490610032.1,1.10802065934527,44795842.9457746,61365822478.0086,151.879059615666,48.43532067827557,41.4191411626831,1981,India,370724073.0
