Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
49779471.0,25226849.0,24552622.0,23.433,13.206,9.0,25.7730007171631,5.65700006484985,4.18699979782104,13.1280002593994,22.4330005645752,286769839732.726,-4.19884397663355,-8942042318.30727,8200140415.43601,4665.17613254669,15.9865897111294,88.1486688054943,2008,South Africa
49119759.0,24895872.0,24223887.0,23.367,13.624,9.0,28.4099998474121,6.62200021743774,5.11199998855591,16.1270008087158,26.6660003662109,299415505152.298,1.97690286120056,-9767791750.64581,7914667726.45982,4851.69318522104,15.8116290856396,87.7174554641475,2007,South Africa
48489459.0,24579337.0,23910122.0,23.238,13.897,9.0,28.4810009002686,6.77899980545044,5.41200017929077,16.9020004272461,28.4890003204346,271638484826.109,6.22215505042752,-5135494351.32541,6333013364.83792,4721.93348249153,16.3703967434757,87.1137981553145,2006,South Africa
47880601.0,24273139.0,23607462.0,23.073,13.994,9.0,28.5049991607666,7.04300022125244,5.38199996948242,16.8540000915527,29.2530002593994,257772710832.953,4.71639044271276,-4941581620.61862,6159797461.98481,4636.93010035526,16.2453416966089,87.1567180454355,2005,South Africa
47291610.0,23976130.0,23315480.0,22.902,13.897,9.0,28.871000289917,9.0629997253418,7.0789999961853,17.2259998321533,29.576000213623,228590027400.653,3.92727873377021,-4311345728.12979,6317011625.9269,4589.9050592695,16.7607974940869,86.9948355294109,2004,South Africa
46719196.0,23686430.0,23032766.0,22.763,13.63,9.0,27.9680004119873,9.9069995880127,7.2189998626709,16.882999420166,32.4560012817383,175256916996.047,2.90200796408644,-4611286633.97094,5349452060.22711,4559.77453036649,17.5065631974473,86.0232801463329,2003,South Africa
46150913.0,23397962.0,22752951.0,22.692,13.225,9.0,28.5580005645752,10.9270000457764,8.42700004577637,17.5170001983643,33.4729995727539,115482368343.658,6.02104845833109,-2789188573.81388,3908374206.64662,4528.81614714751,18.3241040408302,84.8983427744315,2002,South Africa
45571274.0,23103253.0,22468021.0,22.715,12.709,9.0,27.9009990692139,9.72399997711182,7.13500022888184,16.3780002593994,30.8959999084473,121514658737.165,0.743662334458151,-3737397202.99215,3908377084.97886,4302.11804041291,19.1214417005142,85.678084496442,2001,South Africa
44967708.0,22796104.0,22171604.0,22.854,12.107,9.0,27.253999710083,9.92599964141846,8.45800018310547,15.2910003662109,30.2290000915527,136361298082.061,3.69524955521882,-3173565532.48075,4083674500.11372,4579.95324111249,18.5080804630776,84.2434264809192,2000,South Africa
44338543.0,22476163.0,21862380.0,23.119,11.448,9.0,27.3099994659424,10.0480003356934,8.56599998474121,15.3739995956421,30.2019996643066,136632320704.653,-0.0802284809586951,-3208290498.06578,4424105090.15968,4470.96333318846,18.2213200307393,84.6527318056298,1999,South Africa
43682260.0,22142308.0,21539952.0,23.499,10.767,9.0,27.5310001373291,10.1680002212524,8.67199993133545,15.5939998626709,29.7479991912842,137774755609.072,-0.27260110400951,-3163368501.46843,4750660278.70914,4606.90449624172,17.272490038871,84.4570529558715,1998,South Africa
42987461.0,21787052.0,21200409.0,23.983,10.105,9.0,27.673999786377,10.2760000228882,8.75399971008301,15.7180004119873,29.8509998321533,152587423868.182,1.20527456666468,-3221163949.2082,5634378468.86023,4818.49811971914,17.1071913418366,84.9071577134962,1997,South Africa
42241011.0,21401434.0,20839577.0,24.572,9.498,9.0,27.8239994049072,10.4029998779297,8.85900020599365,15.8699998855591,29.7980003356934,147606294673.67,1.21528870545058,-3111401163.62573,5697606556.34118,4705.94797080023,17.4377706017221,84.9935558795546,1996,South Africa
41435758.0,20980412.0,20455346.0,25.276,8.98,9.0,28.0690002441406,10.5299997329712,8.97200012207031,16.128999710083,29.5820007324219,155460927990.383,2.83012393699367,-2874484606.78479,5498906146.3958,4157.56844607501,18.1130796760271,86.3013700350014,1995,South Africa
40564059.0,20519402.0,20044657.0,26.107,8.577,9.0,28.1639995574951,10.6680002212524,9.08199977874756,16.2189998626709,29.5590000152588,139752515748.806,-0.763133871787815,-2421708920.85771,5890506313.36897,4068.47845280967,18.5628815589559,86.1528321349113,1994,South Africa
39633750.0,20023532.0,19610218.0,27.055,8.288,9.0,28.2770004272461,10.7869997024536,9.18200016021729,16.3530006408691,29.4169998168945,134308050011.809,2.63202747825559,-2662389230.64577,5144531650.15931,4023.28823288233,18.585950063784,86.650110800266,1993,South Africa
38672607.0,19509644.0,19162963.0,28.095,8.109,9.0,28.431999206543,10.8929996490479,9.26799964904785,16.5179996490479,28.6089992523193,134544563096.782,-0.61038606628297,-2945637542.123,4726133606.74634,3997.04110974468,18.3632170243738,85.1541575607375,1992,South Africa
37718950.0,19001033.0,18717917.0,29.194,8.041,9.0,28.6790008544922,11.0109996795654,9.35700035095215,16.7199993133545,28.2709999084473,123942759156.416,0.928052087353208,-3208254038.38389,5168551939.92717,4128.26974239739,17.4661188204403,86.2707908672794,1991,South Africa
36800509.0,18514601.0,18285908.0,30.312,8.082,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,115552349035.441,-25.8526729578987,-4267348624.78401,4861399420.5718,4238.74571952252,16.6278217077773,86.1560071464834,1990,South Africa
35930050.0,18057601.0,17872449.0,31.408,8.22,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,99030856824.7526,6.3149759273642,-3369457357.98626,4854199572.76486,4271.32720383078,17.249617595115552,85.7587484321716,1989,South Africa
35100909.0,17626105.0,17474804.0,32.445,8.434,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,95176640968.0367,3.36019273366492,-3172246799.21749,5062751061.97911,4255.16045752547,17.249617595115552,87.1673524930403,1988,South Africa
34297727.0,17212169.0,17085558.0,33.388,8.699,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,88573697221.7221,4.69103331954747,-3116844845.36927,4560337911.95299,4175.11632767967,17.249617595115552,88.5555062554156,1987,South Africa
33495953.0,16802772.0,16693181.0,34.207,8.997,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,67521602552.6474,-0.663123816856341,-2945692219.02968,3086171672.64853,4205.70210377355,17.249617595115552,88.0437417287456,1986,South Africa
32678874.0,16388852.0,16290022.0,34.87,9.308,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,59082638803.0846,-5.70033322185941,-2570585662.55712,2821407339.17947,4117.79793881515,17.249617595115552,88.7753766417448,1985,South Africa
31841593.0,15968276.0,15873317.0,35.355,9.621,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,77344092904.1052,18.4638317859873,-2993335152.70743,3429863195.8106,4034.97400397022,17.249617595115552,89.3491292378754,1984,South Africa
30993758.0,15545814.0,15447944.0,35.682,9.93,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,87415851379.4578,-4.65552239365672,-3356969752.12211,3589444395.38404,3789.53723520717,17.249617595115552,90.2656956031556,1983,South Africa
30150448.0,15127434.0,15023014.0,35.882,10.233,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,78423059791.0843,-2.36768616252803,-3127602210.73271,4125008922.81266,3750.22619896063,17.249617595115552,90.5062918186777,1982,South Africa
29333103.0,14721781.0,14611322.0,35.983,10.528,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,85454420504.1014,3.2677327098543,-3579165186.12914,5166486772.97342,3678.88116030547,17.249617595115552,89.8817022811823,1981,South Africa
28556769.0,14334901.0,14221868.0,36.031,10.815,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,82980483390.5057,7.4497941984732,-3325485114.52327,4843138938.9891,3519.27068499941,17.249617595115552,89.0295474101738,1980,South Africa
27827320.0,13968988.0,13858332.0,36.079,11.102,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,57645721015.634,0.512556762770373,-2339604656.06624,3219628539.38861,3329.46183822229,17.249617595115552,88.7355332109377,1979,South Africa
27138965.0,13621525.0,13517440.0,36.167,11.401,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,46739449959.357,2.22587318516526,-1952699998.302,2941699997.442,3107.59824481147,17.249617595115552,89.0679306618312,1978,South Africa
26480913.0,13288165.0,13192748.0,36.324,11.717,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,40651349964.651,-3.28378680018871,-1737649998.489,2693299997.658,2958.8103703222,17.249617595115552,89.0246469725816,1977,South Africa
25836888.0,12962402.0,12874486.0,36.563,12.053,9.0,26.485999992915573,7.892535652433125,6.27846428326198,14.813107184001373,27.913678714207236,36603349968.171,-4.53787344195011,-1501899998.694,2336799997.968,2885.40941927681,17.249617595115552,89.2244037146374,1976,South Africa
